,subject,trial,object,colors,scenes,object_appear,feature_disappear,difficulty_question_appear,difficulty_answer_time
0,102,1,tie,green,living_room,2026-04-12_13-50-03.385,2026-04-12_13-50-06.406,2026-04-12_13-50-08.005,2026-04-12_13-50-12.321
1,102,2,chair,green,living_room,2026-04-12_13-50-17.445,2026-04-12_13-50-20.464,2026-04-12_13-50-22.240,2026-04-12_13-50-23.553
2,102,3,fan,yellow,bathroom,2026-04-12_13-50-28.445,2026-04-12_13-50-31.466,2026-04-12_13-50-32.855,2026-04-12_13-50-36.353
3,102,4,dog,yellow,kitchen,2026-04-12_13-50-41.316,2026-04-12_13-50-44.340,2026-04-12_13-50-46.098,2026-04-12_13-50-50.745
4,102,5,shirt,red,bathroom,2026-04-12_13-50-55.529,2026-04-12_13-50-58.550,2026-04-12_13-50-59.813,2026-04-12_13-51-07.466
5,102,6,ladder,red,kitchen,2026-04-12_13-51-12.255,2026-04-12_13-51-15.274,2026-04-12_13-51-16.573,2026-04-12_13-51-20.968
6,102,7,lego,yellow,bathroom,2026-04-12_13-51-25.370,2026-04-12_13-51-28.391,2026-04-12_13-51-29.972,2026-04-12_13-51-35.194
7,102,8,coat,red,kitchen,2026-04-12_13-51-39.832,2026-04-12_13-51-42.857,2026-04-12_13-51-44.656,2026-04-12_13-51-50.961
8,102,9,headphones,green,living_room,2026-04-12_13-51-55.888,2026-04-12_13-51-58.907,2026-04-12_13-52-00.463,2026-04-12_13-52-04.241
9,102,10,hat,green,kitchen,2026-04-12_13-58-38.649,2026-04-12_13-58-41.674,2026-04-12_13-58-42.907,2026-04-12_13-58-45.833
10,102,11,key,yellow,bathroom,2026-04-12_13-58-51.042,2026-04-12_13-58-54.065,2026-04-12_13-58-55.422,2026-04-12_13-58-59.249
11,102,12,sock,yellow,bathroom,2026-04-12_13-59-04.062,2026-04-12_13-59-07.083,2026-04-12_13-59-08.264,2026-04-12_13-59-11.984
12,102,13,build a bear,green,kitchen,2026-04-12_13-59-16.726,2026-04-12_13-59-19.748,2026-04-12_13-59-21.106,2026-04-12_13-59-26.489
13,102,14,brush,red,kitchen,2026-04-12_13-59-31.247,2026-04-12_13-59-34.274,2026-04-12_13-59-35.631,2026-04-12_13-59-40.217
14,102,15,game,green,living_room,2026-04-12_13-59-43.678,2026-04-12_13-59-46.698,2026-04-12_13-59-48.089,2026-04-12_13-59-52.449
15,102,16,clock,yellow,living_room,2026-04-12_13-59-57.556,2026-04-12_14-00-00.574,2026-04-12_14-00-01.990,2026-04-12_14-00-08.713
16,102,17,keyboard,red,bathroom,2026-04-12_14-00-13.388,2026-04-12_14-00-16.407,2026-04-12_14-00-18.148,2026-04-12_14-00-23.889
17,102,18,air conditioner,red,living_room,2026-04-12_14-00-28.633,2026-04-12_14-00-31.658,2026-04-12_14-00-33.306,2026-04-12_14-00-39.241
18,102,19,paper,red,bathroom,2026-04-12_14-04-33.124,2026-04-12_14-04-36.157,2026-04-12_14-04-37.656,2026-04-12_14-04-41.056
19,102,20,closet,green,living_room,2026-04-12_14-04-45.537,2026-04-12_14-04-48.557,2026-04-12_14-04-49.723,2026-04-12_14-04-53.945
20,102,21,bucket,green,kitchen,2026-04-12_14-04-58.910,2026-04-12_14-05-01.932,2026-04-12_14-05-03.848,2026-04-12_14-05-09.768
21,102,22,painting,red,kitchen,2026-04-12_14-05-15.084,2026-04-12_14-05-18.107,2026-04-12_14-05-19.440,2026-04-12_14-05-26.096
22,102,23,gloves,green,bathroom,2026-04-12_14-05-29.238,2026-04-12_14-05-32.257,2026-04-12_14-05-33.723,2026-04-12_14-05-41.656
23,102,24,sweeper,yellow,bathroom,2026-04-12_14-05-46.226,2026-04-12_14-05-49.250,2026-04-12_14-05-51.115,2026-04-12_14-05-56.472
24,102,25,towel,yellow,living_room,2026-04-12_14-06-01.691,2026-04-12_14-06-04.716,2026-04-12_14-06-06.056,2026-04-12_14-06-12.848
25,102,26,shoe,red,living_room,2026-04-12_14-06-16.707,2026-04-12_14-06-19.723,2026-04-12_14-06-21.156,2026-04-12_14-06-22.376
26,102,27,sponge,yellow,kitchen,2026-04-12_14-06-27.557,2026-04-12_14-06-30.583,2026-04-12_14-06-31.823,2026-04-12_14-06-35.256
27,102,28,ball,green,kitchen,2026-04-12_14-10-40.920,2026-04-12_14-10-43.940,2026-04-12_14-10-45.865,2026-04-12_14-10-50.456
28,102,29,laptop,red,bathroom,2026-04-12_14-10-53.824,2026-04-12_14-10-56.841,2026-04-12_14-10-58.731,2026-04-12_14-10-59.840
29,102,30,dustpan,red,living_room,2026-04-12_14-11-04.426,2026-04-12_14-11-07.450,2026-04-12_14-11-08.732,2026-04-12_14-11-13.488
30,102,31,woman,yellow,bathroom,2026-04-12_14-11-17.962,2026-04-12_14-11-20.982,2026-04-12_14-11-22.397,2026-04-12_14-11-25.560
31,102,32,man,green,bathroom,2026-04-12_14-11-30.173,2026-04-12_14-11-33.191,2026-04-12_14-11-34.831,2026-04-12_14-11-38.864
32,102,33,bulb,yellow,kitchen,2026-04-12_14-11-44.153,2026-04-12_14-11-47.173,2026-04-12_14-11-48.815,2026-04-12_14-11-50.840
33,102,34,sprey,green,living_room,2026-04-12_14-11-55.332,2026-04-12_14-11-58.358,2026-04-12_14-12-00.273,2026-04-12_14-12-04.975
34,102,35,apple,yellow,living_room,2026-04-12_14-12-10.046,2026-04-12_14-12-13.066,2026-04-12_14-12-14.790,2026-04-12_14-12-17.184
35,102,36,wallet,red,kitchen,2026-04-12_14-12-22.394,2026-04-12_14-12-25.416,2026-04-12_14-12-26.965,2026-04-12_14-12-32.728
36,102,37,trash can,green,living_room,2026-04-12_14-16-11.531,2026-04-12_14-16-14.550,2026-04-12_14-16-16.198,2026-04-12_14-16-22.728
37,102,38,phone,yellow,bathroom,2026-04-12_14-16-27.418,2026-04-12_14-16-30.440,2026-04-12_14-16-31.973,2026-04-12_14-16-40.503
38,102,39,glasses,red,living_room,2026-04-12_14-16-45.663,2026-04-12_14-16-48.683,2026-04-12_14-16-50.340,2026-04-12_14-16-53.079
39,102,40,flower pot,green,kitchen,2026-04-12_14-16-58.563,2026-04-12_14-17-01.582,2026-04-12_14-17-03.015,2026-04-12_14-17-08.575
40,102,41,candle,yellow,kitchen,2026-04-12_14-17-13.730,2026-04-12_14-17-16.748,2026-04-12_14-17-18.007,2026-04-12_14-17-22.424
41,102,42,baby,red,bathroom,2026-04-12_14-17-26.975,2026-04-12_14-17-29.999,2026-04-12_14-17-31.965,2026-04-12_14-17-34.512
42,102,43,mog,red,bathroom,2026-04-12_14-17-38.737,2026-04-12_14-17-41.758,2026-04-12_14-17-42.898,2026-04-12_14-17-47.383
43,102,44,wipes,yellow,kitchen,2026-04-12_14-17-52.942,2026-04-12_14-17-55.966,2026-04-12_14-17-57.148,2026-04-12_14-18-05.992
44,102,45,cat,green,living_room,2026-04-12_14-18-10.769,2026-04-12_14-18-13.791,2026-04-12_14-18-15.507,2026-04-12_14-18-17.960
