,subject,trial,object,colors,scenes,object_appear,object_disappear,scenes_question_appear,scenes_answer_time,colors_question_appear,colors_answer_time
0,101,trial_1,paper,green,kitchen,2026-03-14_18-50-44.011,2026-03-14_18-50-47.024,2026-03-14_18-50-50.043,2026-03-14_18-50-51.226,2026-03-14_18-50-53.241,2026-03-14_18-50-54.064
1,101,trial_2,gloves,yellow,living_room,2026-03-14_18-50-56.084,2026-03-14_18-50-59.097,2026-03-14_18-51-02.114,2026-03-14_18-51-03.412,2026-03-14_18-51-05.428,2026-03-14_18-51-06.366
2,101,trial_3,sock,yellow,kitchen,2026-03-14_18-51-08.391,2026-03-14_18-51-11.404,2026-03-14_18-51-17.222,2026-03-14_18-51-18.200,2026-03-14_18-51-14.421,2026-03-14_18-51-15.207
3,101,trial_4,brush,yellow,kitchen,2026-03-14_18-51-20.225,2026-03-14_18-51-23.239,2026-03-14_18-51-28.970,2026-03-14_18-51-29.495,2026-03-14_18-51-26.256,2026-03-14_18-51-26.955
4,101,trial_5,bulb,red,living_room,2026-03-14_18-51-31.521,2026-03-14_18-51-34.534,2026-03-14_18-51-40.204,2026-03-14_18-51-41.255,2026-03-14_18-51-37.551,2026-03-14_18-51-38.189
5,101,trial_6,man,green,bathroom,2026-03-14_18-51-43.282,2026-03-14_18-51-46.294,2026-03-14_18-51-51.795,2026-03-14_18-51-52.618,2026-03-14_18-51-49.313,2026-03-14_18-51-49.780
6,101,trial_7,mog,green,kitchen,2026-03-14_18-51-54.643,2026-03-14_18-51-57.657,2026-03-14_18-52-03.993,2026-03-14_18-52-06.525,2026-03-14_18-52-00.674,2026-03-14_18-52-01.976
7,101,trial_8,chair,red,kitchen,2026-03-14_18-52-08.552,2026-03-14_18-52-11.565,2026-03-14_18-52-17.455,2026-03-14_18-52-18.698,2026-03-14_18-52-14.582,2026-03-14_18-52-15.440
8,101,trial_9,tie,green,bathroom,2026-03-14_18-52-20.719,2026-03-14_18-52-23.732,2026-03-14_18-52-26.750,2026-03-14_18-52-27.841,2026-03-14_18-52-29.856,2026-03-14_18-52-30.328
9,101,trial_10,lego,red,living_room,2026-03-14_18-55-48.946,2026-03-14_18-55-51.959,2026-03-14_18-56-00.280,2026-03-14_18-56-01.074,2026-03-14_18-55-54.977,2026-03-14_18-55-58.263
10,101,trial_11,dustpan,red,bathroom,2026-03-14_18-56-03.100,2026-03-14_18-56-06.113,2026-03-14_18-56-09.129,2026-03-14_18-56-09.806,2026-03-14_18-56-11.821,2026-03-14_18-56-12.601
11,101,trial_12,glasses,yellow,living_room,2026-03-14_18-56-14.621,2026-03-14_18-56-17.634,2026-03-14_18-56-20.651,2026-03-14_18-56-22.351,2026-03-14_18-56-24.367,2026-03-14_18-56-25.571
12,101,trial_13,fan,yellow,kitchen,2026-03-14_18-56-27.598,2026-03-14_18-56-30.611,2026-03-14_18-56-36.835,2026-03-14_18-56-37.670,2026-03-14_18-56-33.628,2026-03-14_18-56-34.819
13,101,trial_14,cat,red,bathroom,2026-03-14_18-56-39.695,2026-03-14_18-56-42.708,2026-03-14_18-56-48.837,2026-03-14_18-56-49.846,2026-03-14_18-56-45.725,2026-03-14_18-56-46.821
14,101,trial_15,flower pot,yellow,living_room,2026-03-14_18-56-51.873,2026-03-14_18-56-54.886,2026-03-14_18-56-57.903,2026-03-14_18-56-59.195,2026-03-14_18-57-01.212,2026-03-14_18-57-02.040
15,101,trial_16,sweeper,green,kitchen,2026-03-14_18-57-04.065,2026-03-14_18-57-07.079,2026-03-14_18-57-10.095,2026-03-14_18-57-11.287,2026-03-14_18-57-13.302,2026-03-14_18-57-14.169
16,101,trial_17,key,green,kitchen,2026-03-14_18-57-16.196,2026-03-14_18-57-19.211,2026-03-14_18-57-22.228,2026-03-14_18-57-23.404,2026-03-14_18-57-25.420,2026-03-14_18-57-26.737
17,101,trial_18,game,red,living_room,2026-03-14_18-57-28.759,2026-03-14_18-57-31.772,2026-03-14_18-57-34.789,2026-03-14_18-57-36.170,2026-03-14_18-57-38.187,2026-03-14_18-57-39.828
18,101,trial_19,coat,green,living_room,2026-03-14_19-01-04.958,2026-03-14_19-01-07.970,2026-03-14_19-01-10.989,2026-03-14_19-01-11.915,2026-03-14_19-01-13.931,2026-03-14_19-01-15.434
19,101,trial_20,build a bear,red,kitchen,2026-03-14_19-01-17.461,2026-03-14_19-01-20.474,2026-03-14_19-01-26.130,2026-03-14_19-01-26.932,2026-03-14_19-01-23.490,2026-03-14_19-01-24.115
20,101,trial_21,trash can,green,kitchen,2026-03-14_19-01-28.958,2026-03-14_19-01-31.971,2026-03-14_19-01-34.989,2026-03-14_19-01-36.061,2026-03-14_19-01-38.076,2026-03-14_19-01-38.759
21,101,trial_22,woman,yellow,kitchen,2026-03-14_19-01-40.785,2026-03-14_19-01-43.799,2026-03-14_19-01-46.815,2026-03-14_19-01-47.706,2026-03-14_19-01-49.721,2026-03-14_19-01-50.700
22,101,trial_23,baby,red,bathroom,2026-03-14_19-01-52.726,2026-03-14_19-01-55.740,2026-03-14_19-01-58.756,2026-03-14_19-02-00.286,2026-03-14_19-02-02.302,2026-03-14_19-02-03.282
23,101,trial_24,apple,yellow,living_room,2026-03-14_19-02-05.308,2026-03-14_19-02-08.321,2026-03-14_19-02-14.710,2026-03-14_19-02-15.944,2026-03-14_19-02-11.338,2026-03-14_19-02-12.693
24,101,trial_25,dog,green,kitchen,2026-03-14_19-02-17.976,2026-03-14_19-02-20.989,2026-03-14_19-02-24.005,2026-03-14_19-02-26.076,2026-03-14_19-02-28.093,2026-03-14_19-02-28.666
25,101,trial_26,iphone,green,bathroom,2026-03-14_19-02-30.691,2026-03-14_19-02-33.704,2026-03-14_19-02-36.721,2026-03-14_19-02-38.264,2026-03-14_19-02-40.281,2026-03-14_19-02-41.608
26,101,trial_27,candle,red,living_room,2026-03-14_19-02-43.636,2026-03-14_19-02-46.650,2026-03-14_19-02-49.667,2026-03-14_19-02-50.444,2026-03-14_19-02-52.459,2026-03-14_19-02-53.145
27,101,trial_28,wipes,yellow,kitchen,2026-03-14_19-06-16.299,2026-03-14_19-06-19.311,2026-03-14_19-06-25.076,2026-03-14_19-06-26.233,2026-03-14_19-06-22.329,2026-03-14_19-06-23.060
28,101,trial_29,sprey,red,living_room,2026-03-14_19-06-28.259,2026-03-14_19-06-31.273,2026-03-14_19-06-37.267,2026-03-14_19-06-37.965,2026-03-14_19-06-34.289,2026-03-14_19-06-35.252
29,101,trial_30,ladder,yellow,kitchen,2026-03-14_19-06-39.994,2026-03-14_19-06-43.007,2026-03-14_19-06-48.903,2026-03-14_19-06-49.607,2026-03-14_19-06-46.024,2026-03-14_19-06-46.888
30,101,trial_31,towel,green,bathroom,2026-03-14_19-06-51.633,2026-03-14_19-06-54.646,2026-03-14_19-06-57.663,2026-03-14_19-06-59.066,2026-03-14_19-07-01.082,2026-03-14_19-07-01.612
31,101,trial_32,closet,red,living_room,2026-03-14_19-07-03.638,2026-03-14_19-07-06.651,2026-03-14_19-07-09.668,2026-03-14_19-07-10.885,2026-03-14_19-07-12.900,2026-03-14_19-07-13.559
32,101,trial_33,headphones,green,living_room,2026-03-14_19-07-15.584,2026-03-14_19-07-18.597,2026-03-14_19-07-24.373,2026-03-14_19-07-25.016,2026-03-14_19-07-21.615,2026-03-14_19-07-22.358
